Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
0.000000	 0.500000
0.023529	 0.529412 	 numero de thread:2
0.047059	 0.558963 	 numero de thread:2
0.070588	 0.588658 	 numero de thread:2
0.094118	 0.618503 	 numero de thread:2
0.117647	 0.648502 	 numero de thread:2
0.141176	 0.678662 	 numero de thread:2
0.164706	 0.708989 	 numero de thread:2
0.188235	 0.739489 	 numero de thread:2
0.211765	 0.770168 	 numero de thread:2
0.235294	 0.801035 	 numero de thread:2
0.258824	 0.832095 	 numero de thread:2
0.282353	 0.863357 	 numero de thread:2
0.305882	 0.894829 	 numero de thread:2
0.329412	 0.926520 	 numero de thread:2
0.352941	 0.958439 	 numero de thread:2
0.376471	 0.990595 	 numero de thread:2
0.400000	 1.022998 	 numero de thread:2
0.423529	 1.055660 	 numero de thread:2
0.447059	 1.088591 	 numero de thread:2
0.470588	 1.121805 	 numero de thread:2
0.494118	 1.155312 	 numero de thread:2
0.517647	 1.189128 	 numero de thread:2
0.541176	 1.223267 	 numero de thread:2
0.564706	 1.257743 	 numero de thread:2
0.588235	 1.292574 	 numero de thread:2
0.611765	 1.327776 	 numero de thread:2
0.635294	 1.363368 	 numero de thread:2
0.658824	 1.399371 	 numero de thread:2
0.682353	 1.435804 	 numero de thread:2
0.705882	 1.472691 	 numero de thread:2
0.729412	 1.510055 	 numero de thread:2
0.752941	 1.547923 	 numero de thread:2
0.776471	 1.586323 	 numero de thread:2
0.800000	 1.625285 	 numero de thread:2
0.823529	 1.664840 	 numero de thread:2
0.847059	 1.705024 	 numero de thread:2
0.870588	 1.745873 	 numero de thread:2
0.894118	 1.787429 	 numero de thread:2
0.917647	 1.829735 	 numero de thread:2
0.941176	 1.872839 	 numero de thread:2
0.964706	 1.916791 	 numero de thread:2
0.988235	 1.961649 	 numero de thread:2
1.011765	 2.007474 	 numero de thread:2
1.035294	 2.054331 	 numero de thread:2
1.058824	 2.102294 	 numero de thread:2
1.082353	 2.151443 	 numero de thread:2
1.105882	 2.201866 	 numero de thread:2
1.129412	 2.253658 	 numero de thread:2
1.152941	 2.306927 	 numero de thread:2
1.176471	 2.361790 	 numero de thread:2
1.200000	 2.418378 	 numero de thread:2
1.223529	 2.476836 	 numero de thread:2
1.247059	 2.537325 	 numero de thread:2
1.270588	 2.600025 	 numero de thread:2
1.294118	 2.665141 	 numero de thread:2
1.317647	 2.732899 	 numero de thread:2
1.341176	 2.803556 	 numero de thread:2
1.364706	 2.877404 	 numero de thread:2
1.388235	 2.954775 	 numero de thread:2
1.411765	 3.036047 	 numero de thread:2
1.435294	 3.121654 	 numero de thread:2
1.458824	 3.212096 	 numero de thread:2
1.482353	 3.307954 	 numero de thread:2
1.505882	 3.409903 	 numero de thread:2
1.529412	 3.518733 	 numero de thread:2
1.552941	 3.635378 	 numero de thread:2
1.576471	 3.760944 	 numero de thread:2
1.600000	 3.896754 	 numero de thread:2
1.623529	 4.044402 	 numero de thread:2
1.647059	 4.205829 	 numero de thread:2
1.670588	 4.383412 	 numero de thread:2
1.694118	 4.580105 	 numero de thread:2
1.717647	 4.799609 	 numero de thread:2
1.741176	 5.046632 	 numero de thread:2
1.764706	 5.327244 	 numero de thread:2
1.788235	 5.649402 	 numero de thread:2
1.811765	 6.023722 	 numero de thread:2
1.835294	 6.464677 	 numero de thread:2
1.858824	 6.992469 	 numero de thread:2
1.882353	 7.636100 	 numero de thread:2
1.905882	 8.438585 	 numero de thread:2
1.929412	 9.466260 	 numero de thread:2
1.952941	 10.826357 	 numero de thread:2
1.976471	 12.702533 	 numero de thread:2
2.000000	 15.433084 	 numero de thread:2
